Date,Price,Volume,Fluct
1999-06-28,903.05,229260000.0,0.023799999999999998
1999-06-29,897.45,233320000.0,-0.0062
1999-06-30,883.0,259890000.0,-0.0161
1999-07-01,919.98,279150000.0,0.04190000000000001
1999-07-02,933.42,300140000.0,0.0146
1999-07-05,962.84,349840000.0,0.0315
1999-07-06,989.43,341930000.0,0.0276
1999-07-07,1005.98,399670000.0,0.0167
1999-07-08,999.11,441960000.0,-0.0068000000000000005
1999-07-09,1027.93,448720000.0,0.0288
1999-07-12,1004.25,489180000.0,-0.023
1999-07-13,987.5,364180000.0,-0.0167
1999-07-14,953.67,349160000.0,-0.034300000000000004
1999-07-15,982.14,307740000.0,0.029900000000000003
1999-07-16,1020.82,360300000.0,0.0394
1999-07-19,1024.58,379340000.0,0.0037
1999-07-20,998.45,406350000.0,-0.0255
1999-07-21,965.11,379600000.0,-0.0334
1999-07-22,976.66,397390000.0,0.012
1999-07-23,904.96,413130000.0,-0.07339999999999999
1999-07-26,872.94,349100000.0,-0.0354
1999-07-27,928.85,390090000.0,0.064
1999-07-28,944.46,394200000.0,0.0168
1999-07-29,998.71,390700000.0,0.0574
1999-07-30,969.72,405430000.0,-0.028999999999999998
1999-08-02,959.81,352440000.0,-0.0102
1999-08-03,973.33,344340000.0,0.0141
1999-08-04,975.45,381670000.0,0.0022
1999-08-05,939.07,285810000.0,-0.0373
1999-08-06,938.26,236920000.0,-0.0009
1999-08-09,948.97,294560000.0,0.011399999999999999
1999-08-10,968.66,291160000.0,0.0207
1999-08-11,944.08,291840000.0,-0.0254
1999-08-12,949.35,255840000.0,0.005600000000000001
1999-08-13,917.47,270180000.0,-0.0336
1999-08-16,907.28,219580000.0,-0.0111
1999-08-17,873.7,270860000.0,-0.037000000000000005
1999-08-18,868.94,326410000.0,-0.0054
1999-08-19,871.18,280270000.0,0.0026
1999-08-20,878.39,255150000.0,0.0083
1999-08-23,917.58,306430000.0,0.0446
1999-08-24,932.41,343800000.0,0.016200000000000003
1999-08-25,963.0,380360000.0,0.032799999999999996
1999-08-26,959.88,366360000.0,-0.0032
1999-08-27,960.28,325170000.0,0.0004
1999-08-30,942.57,300490000.0,-0.0184
1999-08-31,937.88,265480000.00000003,-0.005
1999-09-01,905.52,316140000.0,-0.0345
1999-09-02,898.97,305810000.0,-0.0072
1999-09-03,910.62,318000000.0,0.013000000000000001
1999-09-06,943.22,290480000.0,0.0358
1999-09-07,943.92,280860000.0,0.0007000000000000001
1999-09-08,936.93,278590000.0,-0.0074
1999-09-09,950.53,234210000.0,0.014499999999999999
1999-09-10,961.98,297620000.0,0.012
1999-09-13,980.91,297900000.0,0.0197
1999-09-14,968.54,289960000.0,-0.0126
1999-09-15,952.69,261240000.0,-0.016399999999999998
1999-09-16,916.16,246100000.0,-0.0383
1999-09-17,925.2,222790000.0,0.009899999999999999
1999-09-20,933.88,234860000.0,0.009399999999999999
1999-09-21,957.42,305230000.0,0.0252
1999-09-22,941.57,301880000.0,-0.0166
1999-09-27,903.79,219380000.0,-0.0401
1999-09-28,900.73,225050000.0,-0.0034000000000000002
1999-09-29,868.88,251790000.0,-0.0354
1999-09-30,836.18,231430000.0,-0.037599999999999995
1999-10-01,839.35,262920000.00000003,0.0038
1999-10-04,818.37,233750000.0,-0.025
1999-10-05,791.55,284860000.0,-0.032799999999999996
1999-10-06,835.31,278000000.0,0.0553
1999-10-07,851.15,341780000.0,0.019
1999-10-08,839.41,311790000.0,-0.0138
1999-10-11,834.39,245310000.0,-0.006
1999-10-12,856.25,298500000.0,0.0262
1999-10-13,855.52,287220000.0,-0.0009
1999-10-14,866.02,334600000.0,0.0123
1999-10-15,862.63,335720000.0,-0.0039000000000000003
1999-10-18,826.25,268260000.0,-0.042199999999999994
1999-10-19,811.44,252570000.0,-0.0179
1999-10-20,830.69,314380000.0,0.023700000000000002
1999-10-21,818.51,339680000.0,-0.0147
1999-10-22,819.52,238550000.0,0.0012
1999-10-25,798.84,278880000.0,-0.0252
1999-10-26,797.01,227740000.0,-0.0023
1999-10-27,793.42,226600000.0,-0.0045000000000000005
1999-10-28,820.95,242630000.0,0.0347
1999-10-29,833.51,313100000.0,0.015300000000000001
1999-11-01,876.55,348220000.0,0.0516
1999-11-02,890.18,401250000.0,0.0155
1999-11-03,887.15,413120000.0,-0.0034000000000000002
1999-11-04,911.82,418850000.0,0.0278
1999-11-05,913.09,413330000.0,0.0014000000000000002
1999-11-08,907.6,385360000.0,-0.006
1999-11-09,943.46,355510000.0,0.0395
1999-11-10,938.76,422270000.0,-0.005
1999-11-11,947.42,465920000.0,0.0092
1999-11-12,969.26,538910000.0,0.0231
1999-11-15,974.73,471540000.0,0.005600000000000001
1999-11-16,1007.72,464290000.0,0.0338
1999-11-17,967.64,491980000.0,-0.0398
1999-11-18,970.19,384230000.0,0.0026
1999-11-19,993.11,390510000.0,0.0236
1999-11-22,977.88,308440000.0,-0.015300000000000001
1999-11-23,974.05,277300000.0,-0.0039000000000000003
1999-11-24,969.29,303190000.0,-0.0049
1999-11-25,972.71,351880000.0,0.0034999999999999996
1999-11-26,949.16,310880000.0,-0.0242
1999-11-29,964.26,276920000.0,0.0159
1999-11-30,996.66,339000000.0,0.0336
1999-12-01,999.16,294840000.0,0.0025
1999-12-02,967.9,305620000.0,-0.0313
1999-12-03,966.59,259370000.0,-0.0014000000000000002
1999-12-06,998.11,258360000.0,0.0326
1999-12-07,999.92,285490000.0,0.0018
1999-12-08,988.32,277930000.0,-0.0116
1999-12-09,980.54,329750000.0,-0.0079
1999-12-10,1018.17,393980000.0,0.0384
1999-12-13,1013.65,354430000.0,-0.0044
1999-12-14,1002.64,396530000.0,-0.0109
1999-12-15,963.58,356430000.0,-0.039
1999-12-16,948.57,305270000.0,-0.015600000000000001
1999-12-17,949.26,295720000.0,0.0007000000000000001
1999-12-20,967.05,254440000.0,0.0187
1999-12-21,958.8,286050000.0,-0.0085
1999-12-22,967.83,300240000.0,0.009399999999999999
1999-12-23,974.16,294760000.0,0.006500000000000001
1999-12-24,991.63,257329999.99999997,0.0179
1999-12-27,1005.73,233560000.0,0.014199999999999999
1999-12-28,1028.07,259760000.0,0.0222
2000-01-04,1059.04,195900000.0,0.0301
2000-01-05,986.31,257700000.0,-0.0687
2000-01-06,960.79,203520000.0,-0.0259
2000-01-07,948.65,215660000.0,-0.0126
2000-01-10,987.24,240180000.0,0.0407
